epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7916,2.1753,3.47225,2.16718,0.02372,0.22521,0.01177,0.00397,2.67575,13.1216,2.73062,0.000414798,0.000414798,0.000414798
2,128.978,2.19434,3.27374,2.22565,0.59466,0.06063,0.053,0.02153,2.46923,3.42729,2.46626,0.000804027,0.000804027,0.000804027
3,198.507,2.19973,3.26504,2.21684,0.14191,0.11998,0.10713,0.04232,2.35792,3.28413,2.51444,0.00116575,0.00116575,0.00116575
4,264.298,2.18774,3.23719,2.21315,0.15785,0.1576,0.09248,0.03525,2.46362,3.52228,2.46017,0.00112625,0.00112625,0.00112625
5,325.369,2.12587,3.14369,2.16255,0.9209,0.07645,0.12309,0.05397,2.3481,3.23408,2.50038,0.001085,0.001085,0.001085
6,365.131,2.10701,3.10818,2.15043,0.19217,0.17445,0.13291,0.059,2.30542,3.07323,2.37656,0.00104375,0.00104375,0.00104375
7,408.512,2.07436,3.03897,2.10903,0.4715,0.17299,0.15303,0.075,2.27725,2.96208,2.3368,0.0010025,0.0010025,0.0010025
8,450.398,2.05701,2.96951,2.08553,0.3154,0.14701,0.15338,0.07524,2.23154,2.9551,2.3471,0.00096125,0.00096125,0.00096125
9,493.737,2.03467,2.95171,2.09052,0.24067,0.19477,0.16961,0.0839,2.21003,2.88936,2.28426,0.00092,0.00092,0.00092
10,537.003,2.02988,2.90569,2.06382,0.21525,0.17007,0.17986,0.08763,2.25811,2.90835,2.29839,0.00087875,0.00087875,0.00087875
11,597.021,1.99654,2.88083,2.0228,0.29183,0.2051,0.1955,0.09842,2.15421,2.85192,2.28484,0.0008375,0.0008375,0.0008375
12,659.006,1.97559,2.84966,2.04906,0.35501,0.20541,0.18812,0.09218,2.14384,2.88336,2.2795,0.00079625,0.00079625,0.00079625
13,734.685,1.96339,2.79713,2.02434,0.29743,0.22699,0.21123,0.11444,2.11504,2.70376,2.24521,0.000755,0.000755,0.000755
14,815.98,1.96824,2.77631,2.02084,0.73923,0.16489,0.20574,0.11454,2.07197,2.80497,2.21928,0.00071375,0.00071375,0.00071375
15,883.396,1.9143,2.75214,2.00348,0.3403,0.21657,0.22714,0.12295,2.1048,2.73071,2.21553,0.0006725,0.0006725,0.0006725
16,947.692,1.93482,2.7183,2.0116,0.3243,0.22982,0.22467,0.11649,2.09545,2.73074,2.25958,0.00063125,0.00063125,0.00063125
17,1014.16,1.89711,2.67159,1.9931,0.26633,0.22902,0.20869,0.11251,2.06938,2.72765,2.19937,0.00059,0.00059,0.00059
18,1088.04,1.87945,2.61012,1.95535,0.36414,0.25572,0.23956,0.12438,2.06454,2.63396,2.18787,0.00054875,0.00054875,0.00054875
19,1163.35,1.87273,2.58654,1.96372,0.30856,0.26267,0.24633,0.13257,2.09087,2.60061,2.2133,0.0005075,0.0005075,0.0005075
20,1246.08,1.87912,2.56707,1.93668,0.35917,0.25031,0.24596,0.13136,2.02384,2.64222,2.17924,0.00046625,0.00046625,0.00046625
21,1340.62,1.94069,2.6445,2.07676,0.31867,0.27718,0.24789,0.13277,2.06639,2.60405,2.19173,0.000425,0.000425,0.000425
22,1407.91,1.92324,2.56119,2.08155,0.36967,0.27165,0.26717,0.13593,2.04473,2.5317,2.1606,0.00038375,0.00038375,0.00038375
23,1481.2,1.9065,2.51488,2.05086,0.33804,0.32329,0.27318,0.14378,2.02855,2.46969,2.15139,0.0003425,0.0003425,0.0003425
24,1551.45,1.87781,2.4661,2.03906,0.4247,0.31182,0.30675,0.16021,2.01427,2.45355,2.17144,0.00030125,0.00030125,0.00030125
25,1615.13,1.87265,2.39669,2.02992,0.47375,0.3013,0.30966,0.16301,1.99691,2.38609,2.14805,0.00026,0.00026,0.00026
26,1681.95,1.83808,2.37439,2.01498,0.47953,0.31726,0.32211,0.1666,2.01832,2.35931,2.15937,0.00021875,0.00021875,0.00021875
27,1744.68,1.8243,2.32702,1.99609,0.45381,0.32482,0.33131,0.17012,1.97991,2.32597,2.13366,0.0001775,0.0001775,0.0001775
28,1816.82,1.80472,2.27836,1.98071,0.44678,0.33796,0.337,0.17953,1.99459,2.3225,2.12683,0.00013625,0.00013625,0.00013625
29,1891.19,1.78295,2.22848,1.96203,0.4569,0.36492,0.33645,0.17413,2.00016,2.32937,2.13064,9.5e-05,9.5e-05,9.5e-05
30,1954.64,1.76857,2.16943,1.94105,0.44268,0.35964,0.34854,0.18142,1.97448,2.30803,2.11626,5.375e-05,5.375e-05,5.375e-05
