epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6541,2.01565,3.5062,1.96772,0.00628,0.55914,0.10635,0.0475,2.20651,3.54644,2.19839,0.00046826,0.00046826,0.00046826
2,73.0757,1.99501,3.09865,2.01955,0.16345,0.17596,0.13052,0.05468,2.35849,3.54069,2.40366,0.000913422,0.000913422,0.000913422
3,96.9222,2.01229,2.94831,2.04132,0.099,0.11011,0.05289,0.02386,2.60801,4.11117,2.78372,0.00132715,0.00132715,0.00132715
4,120.096,2.043,2.91183,2.0898,0.14507,0.19615,0.10731,0.04586,2.32882,4.78939,2.49394,0.00128753,0.00128753,0.00128753
5,143.577,1.99513,2.74126,2.03247,0.22976,0.32171,0.2064,0.09429,2.22855,3.56146,2.35,0.00124037,0.00124037,0.00124037
6,168.482,1.96669,2.70877,2.03314,0.25125,0.22082,0.15538,0.07642,2.22234,3.01789,2.24547,0.00119322,0.00119322,0.00119322
7,194.269,1.98379,2.67827,2.00414,0.79437,0.19432,0.22049,0.11172,2.02395,3.3002,2.18421,0.00114606,0.00114606,0.00114606
8,218.739,1.90209,2.59751,1.95937,0.33403,0.3432,0.28386,0.13656,2.01197,2.46912,2.16341,0.0010989,0.0010989,0.0010989
9,243.412,1.89023,2.55569,1.9773,0.32632,0.32565,0.27489,0.13631,1.97472,2.76543,2.15347,0.00105174,0.00105174,0.00105174
10,268.339,1.87185,2.48512,1.95874,0.3753,0.25201,0.21329,0.11152,2.10796,3.07449,2.36654,0.00100459,0.00100459,0.00100459
11,293.467,1.86524,2.42788,1.91189,0.36395,0.39244,0.32842,0.16948,1.92877,2.36361,2.0643,0.00095743,0.00095743,0.00095743
12,318.428,1.83461,2.3782,1.89292,0.48732,0.39443,0.37695,0.19089,1.84251,2.27347,1.98921,0.000910273,0.000910273,0.000910273
13,342.695,1.8564,2.37993,1.91444,0.51925,0.40594,0.39366,0.19836,1.85255,2.21011,2.00038,0.000863116,0.000863116,0.000863116
14,367.184,1.81997,2.34986,1.87126,0.45344,0.41703,0.38784,0.2025,1.87369,2.24373,2.01167,0.000815959,0.000815959,0.000815959
15,391.907,1.78344,2.30622,1.85815,0.51694,0.40128,0.38685,0.21028,1.82067,2.19981,2.00586,0.000768802,0.000768802,0.000768802
16,416.278,1.82195,2.27084,1.85367,0.44685,0.44216,0.41329,0.21903,1.88658,2.18922,1.98404,0.000721645,0.000721645,0.000721645
17,440.473,1.74812,2.20388,1.8419,0.45483,0.46861,0.43787,0.23001,1.79333,2.0914,1.93448,0.000674488,0.000674488,0.000674488
18,465.137,1.76848,2.21274,1.836,0.49531,0.47122,0.45972,0.25096,1.78288,2.04238,1.93236,0.000627331,0.000627331,0.000627331
19,489.234,1.76193,2.19325,1.83172,0.61382,0.41787,0.46697,0.25454,1.75873,2.03852,1.94854,0.000580174,0.000580174,0.000580174
20,513.605,1.73004,2.1104,1.81067,0.51576,0.47649,0.45141,0.24478,1.78875,2.04397,1.91728,0.000533017,0.000533017,0.000533017
21,551.224,1.79758,2.20494,1.92908,0.53271,0.50656,0.49077,0.27289,1.68979,1.96607,1.87544,0.00048586,0.00048586,0.00048586
22,577.252,1.75765,2.12257,1.88532,0.56062,0.42103,0.46586,0.252,1.72838,2.0649,1.8511,0.000438703,0.000438703,0.000438703
23,601.124,1.7544,2.09685,1.88648,0.5527,0.55167,0.54399,0.31125,1.63195,1.8445,1.80539,0.000391546,0.000391546,0.000391546
24,625.121,1.72392,2.05619,1.86395,0.53461,0.57082,0.54759,0.31331,1.60193,1.90392,1.78466,0.000344389,0.000344389,0.000344389
25,648.786,1.68219,2.00484,1.83624,0.55804,0.56869,0.55625,0.33034,1.59858,1.767,1.76724,0.000297232,0.000297232,0.000297232
26,672.994,1.68614,1.99178,1.83721,0.55493,0.54966,0.56088,0.33807,1.56955,1.78306,1.74103,0.000250075,0.000250075,0.000250075
27,697.17,1.67862,1.95278,1.82068,0.56898,0.5672,0.57959,0.34574,1.55201,1.73409,1.72785,0.000202918,0.000202918,0.000202918
28,720.92,1.64183,1.9254,1.80212,0.56205,0.5945,0.5999,0.35536,1.54451,1.67884,1.72954,0.000155761,0.000155761,0.000155761
29,744.749,1.62695,1.89391,1.79261,0.5923,0.60599,0.61523,0.3696,1.51306,1.64309,1.71121,0.000108604,0.000108604,0.000108604
30,769.043,1.61193,1.88033,1.78278,0.59387,0.60404,0.62147,0.37829,1.48686,1.63463,1.68251,6.1447e-05,6.1447e-05,6.1447e-05
